,open,high,low,close,vol,timestamp,days_elapsed,days_elapsed_z,vol_z,dow,month,year,log_return,overnight_gap,log_range,volatility_5,volatility_20
0,918.75,929.75,910.25,916.0,11825,1997-09-11,1,-0.5105151459854451,-1.4216581407251836,3,9,1997,-0.0029976858529161634,,0.02119644574963654,,
1,918.0,936.5,913.5,918.75,9759,1997-09-12,1,-0.5105151459854451,-1.423998143609237,4,9,1997,0.0008166599065559652,0.002181025946360146,0.024866146066081698,,
2,933.5,939.75,929.0,931.25,8551,1997-09-15,3,1.8095609150472043,-1.4253663543952664,0,9,1997,-0.002413193288008088,0.015926912454730918,0.011505143630448755,0.002697149752312894,0.002697149752312894
3,931.25,960.0,930.25,956.0,11749,1997-09-16,1,-0.5105151459854451,-1.4217442202117219,1,9,1997,0.026230143357632067,0.0,0.031479917235150076,0.0020543781212194706,0.0020543781212194706
4,956.0,962.5,951.5,956.0,10849,1997-09-17,1,-0.5105151459854451,-1.4227635825523066,2,9,1997,0.0,0.0,0.011494379425735212,0.013981758033428887,0.013981758033428887
5,955.75,970.5,954.75,958.0,11588,1997-09-18,1,-0.5105151459854451,-1.4219265728082044,3,9,1997,0.0023514053943382994,-0.0002615404748791093,0.016361876503439447,0.012347816950269399,0.012347816950269399
6,957.75,963.25,918.75,918.75,9880,1997-09-19,1,-0.5105151459854451,-1.4238610960056697,4,9,1997,-0.0415727330537119,-0.00026099439010217877,0.047298932979220595,0.011772868726751512,0.011073639155343823
7,960.25,972.0,960.25,966.0,12076,1997-09-22,3,1.8095609150472043,-1.4213738518946428,0,9,1997,0.005970166986503754,0.04417961669896777,0.012162137234424948,0.024393678451114204,0.019971396869522536
8,965.25,967.25,956.5,962.5,10148,1997-09-23,1,-0.5105151459854451,-1.4235575525531399,1,9,1997,-0.002853068982406399,-0.0007766990681722488,0.011176204700314793,0.02473674199679602,0.018731550526929944
9,961.5,970.5,952.0,953.5,14580,1997-09-24,1,-0.5105151459854451,-1.4185377593381714,2,9,1997,-0.008355139988360703,-0.0010395011331048897,0.019246367817699565,0.019473707001676877,0.017527984829709714
10,953.75,957.5,945.5,946.75,14114,1997-09-25,1,-0.5105151459854451,-1.4190655625056299,3,9,1997,-0.007366515816762554,0.00026215755819300923,0.012611832956288876,0.019053119113100724,0.016662727905634007
11,946.25,956.5,918.75,918.75,12049,1997-09-26,1,-0.5105151459854451,-1.4214044327648603,4,9,1997,-0.029492754224612117,-0.0005282620302456984,0.04026673835326111,0.018090834562370556,0.015881805369940216
12,953.25,964.5,950.25,962.0,11104,1997-09-29,3,1.8095609150472043,-1.4224747632224743,0,9,1997,0.009137251928033456,0.036863148210626695,0.014884724476425654,0.013069455150898756,0.016997759317984737
13,961.0,965.25,952.75,954.75,15239,1997-09-30,1,-0.5105151459854451,-1.4177913595798988,1,9,1997,-0.006524882864666879,-0.0010400416954139703,0.013034595390376227,0.013985826133158574,0.016738081591351008
14,955.5,966.5,954.5,963.25,14015,1997-10-01,1,-0.5105151459854451,-1.419177692363094,2,10,1997,0.008078219825939275,0.0007852375747021617,0.012493655482583256,0.01375657262503123,0.01609686173558983
15,963.25,969.5,918.75,918.75,9650,1997-10-02,1,-0.5105151459854451,-1.4241215997149301,3,10,1997,-0.0472989329792205,0.0,0.05376642415566013,0.015640086613686266,0.015825619956064792
16,969.25,985.5,918.75,918.75,13273,1997-10-03,1,-0.5105151459854451,-1.4200180999816652,4,10,1997,-0.0535085260239921,0.053508526023992,0.07013507606572844,0.024619411435892382,0.018839691681941693
17,976.75,983.75,918.75,918.75,8704,1997-10-06,3,1.8095609150472043,-1.425193062797367,0,10,1997,-0.061216683408133486,0.06121668340813355,0.06835774920456658,0.030279788915867037,0.021573529869926972
18,980.25,992.25,977.5,989.5,11618,1997-10-07,1,-0.5105151459854451,-1.421892594063518,1,10,1997,0.00939212387017931,0.06479359064539451,0.014976799803653925,0.03084432523706516,0.024302483668933433
19,989.5,991.75,974.75,982.0,16119,1997-10-08,1,-0.5105151459854451,-1.4167946497357715,2,10,1997,-0.007608456688154514,0.0,0.01729003153173285,0.034720826701970846,0.02410943787464064
20,982.25,983.25,918.75,918.75,9275,1997-10-09,1,-0.5105151459854451,-1.4245463340235072,3,10,1997,-0.06683180791152271,0.00025455008410330275,0.06784936078487244,0.031058542984778146,0.023476011221315124
21,978.75,981.0,918.75,918.75,6506,1997-10-10,1,-0.5105151459854451,-1.4276825721580395,4,10,1997,-0.06326219677796638,0.06326219677796632,0.06555840903831658,0.03449472550904026,0.0265463702354355
22,976.75,981.75,974.0,976.5,3805,1997-10-13,3,1.8095609150472043,-1.4307417918046168,0,10,1997,-0.00025598361844631916,0.06121668340813355,0.007925389815583998,0.03597944096956095,0.028502852071451628
23,976.25,981.5,968.5,977.25,11923,1997-10-14,1,-0.5105151459854451,-1.4215471434925422,1,10,1997,0.0010238035191684476,-0.00025604916283794533,0.013333530869465168,0.03643110770999107,0.02856440337818849
24,975.75,976.75,968.0,973.5,9715,1997-10-15,1,-0.5105151459854451,-1.4240479791014435,2,10,1997,-0.002308581248469962,-0.001536098612339895,0.008998646658602845,0.034559293963594306,0.027086075631598715
25,973.5,981.25,955.25,959.25,12998,1997-10-16,1,-0.5105151459854451,-1.420329571807955,3,10,1997,-0.014746095685192626,0.0,0.026854182769608777,0.035388900140442166,0.0270100990506441
26,959.0,960.0,935.5,949.75,13452,1997-10-17,1,-0.5105151459854451,-1.419815360138371,4,10,1997,-0.009692282815703284,-0.0002606542436235554,0.025852138747737532,0.02720471344881456,0.026595286013363736
27,948.5,963.0,945.0,962.25,11527,1997-10-20,3,1.8095609150472043,-1.4219956629223995,0,10,1997,0.014392502788786708,-0.0013170026926660628,0.018868484304382736,0.006761061146760131,0.02612106429823885
28,963.5,980.5,962.0,979.0,10576,1997-10-21,1,-0.5105151459854451,-1.4230727891289507,1,10,1997,0.015959154676089275,0.0012981956905655997,0.01904819497069441,0.011171759040169605,0.026581261906566397
29,979.0,980.5,970.5,974.0,10172,1997-10-22,1,-0.5105151459854451,-1.423530369557391,2,10,1997,-0.005120338887975335,0.0,0.010251243027336026,0.013928004315889583,0.027426323154205935
30,973.0,974.25,947.5,956.0,13536,1997-10-23,1,-0.5105151459854451,-1.4197202196532497,3,10,1997,-0.017626169134603745,-0.0010272214565300254,0.027841007262237292,0.014136111188830318,0.027483409272072247
31,956.0,969.0,941.5,943.5,14850,1997-10-24,1,-0.5105151459854451,-1.418231950635996,4,10,1997,-0.013161548242796351,0.0,0.028790263793559173,0.014931573797040328,0.027412139712296935
32,942.5,944.0,874.0,874.0,14950,1997-10-27,3,1.8095609150472043,-1.418118688153709,0,10,1997,-0.07545554366663035,-0.0010604454864390803,0.0770457904899653,0.015538581835316912,0.027243555896372756
